Nombre;Código;latitud;longitud;población;pib;Continente
Angola;AO;-11.202692;17.8738861;32886268;6.800;África
Argelia;DZ;28.033886;1.659626;43851043;15.200;África
Benín;BJ;9.3076897;2.315834;12123198;2.300;África
Botsuana;BW;-22.328474;24.684866;2351625;17.000;África
Burkina Faso;BF;12.2383327;-1.5615931;20903278;1.900;África
Burundi;BI;-3.3730559;29.9188862;11890781;700;África
Cabo Verde;CV;16.0020828;-24.0131969;555988;7.000;África
Camerún;CM;7.3697219;12.354722;26545864;3.700;África
Chad;TD;15.4541664;18.7322063;16425859;2.300;África
Comoras;KM;-11.875001;43.8722191;869595;1.600;África
Costa de Marfil;CI;7.539989;-5.54708;26378275;3.900;África
Egipto;EG;26.8205528;30.8024979;102334403;12.700;África
Eritrea;ER;15.1793842;39.7823334;3546427;1.600;África
Etiopía;ET;9.1450005;40.4896736;114963583;2.200;África
Gabón;GA;-0.803689;11.6094437;2225728;18.100;África
Gambia;GM;13.443182;-15.3101387;2416664;2.600;África
Ghana;GH;7.946527;-1.023194;31072945;4.700;África
Guinea;GN;9.9455872;-9.6966448;13132792;2.200;África
Guinea-Bisáu;GW;11.8037491;-15.1804132;1967988;1.900;África
Guinea Ecuatorial;GQ;1.6508009;10.2678947;1402985;37.400;África
Kenia;KE;-0.023559;37.9061928;53771300;3.500;África
Lesoto;LS;-29.6099873;28.2336082;2142252;3.300;África
Liberia;LR;6.4280548;-9.429499;5057677;1.300;África
Libia;LY;26.3351;17.228331;6871287;9.600;África
Madagascar;MG;-18.7669468;46.8691063;27691019;1.600;África
Malaui;MW;-13.2543077;34.3015251;19129955;1.200;África
Mali;ML;17.5706921;-3.996166;20250834;2.200;África
Marruecos;MA;31.7917023;-7.0926199;36813867;8.600;África
Mauricio;MU;-20.3484039;57.5521507;1271767;22.300;África
Mauritania;MR;21.0078907;-10.940835;4649660;4.500;África
Mozambique;MZ;-18.6656952;35.5295639;31255435;1.300;África
Namibia;NA;-22.9576397;18.4904099;2540916;11.200;África
Níger;NE;17.6077881;8.081666;24206636;1.200;África
Nigeria;NG;9.0819988;8.6752768;206139587;5.900;África
República Centroafricana;CF;6.6194073;20.9367017;4829764;700;África
República del Congo;CG;-0.228021;15.8276587;5518092;6.800;África
República Democrática del Congo;CD;-4.0335162;21.7500603;89561404;800;África
Ruanda;RW;-1.9402781;29.873888;12952209;2.100;África
Santo Tomé y Príncipe;ST;0.18636;6.613081;219161;3.200;África
Senegal;SN;14.4974012;-14.4523621;16743930;3.500;África
Seychelles;SC;-4.679574;55.4919777;98340;29.300;África
Sierra Leona;SL;8.4605551;-11.7798891;7976985;1.600;África
Somalia;SO;5.1521492;46.1996155;15893219;314;África
Suazilandia;SZ;-26.5225029;31.4658661;1160164;10.100;África
Sudáfrica;ZA;-30.5594826;22.9375057;59308690;4.300;África
Sudán;SD;12.8628073;30.2176361;43849269;4.300;África
Sudán del Sur;SS;6.8769908;31.3069782;11193729;1.600;África
Tanzania;TH;-6.3690281;34.8888206;59734213;3.200;África
Togo;TG;8.6165431;0.824782;8278737;1.700;África
Túnez;TN;33.8869171;9.5374994;11818618;11.900;África
Uganda;UG;1.373333;32.2902756;45741000;2.400;África
Yibuti;DJ;11.8251381;42.5902748;988002;3.600;África
Zambia;ZM;-13.1338968;27.8493328;18383956;4.000;África
Zimbabue;ZW;-19.0154381;29.1548576;14862927;2.300;África
