Nombre;Country
Greater Accra Region;Ghana
Ashanti Region;Ghana
Upper West Region;Ghana
Northern Region;Ghana
Conakry;Guinea
Bisáu;Guinea-Bisáu
Bioko Norte;Guinea Ecuatorial
Litoral;Guinea Ecuatorial
Nairobi;Kenia
Kajiado;Kenia
Kwale;Kenia
Mombasa;Kenia
Tanga;Kenia
Monrovia;Liberia
Antananarivo;Madagascar
Bakamo;Mali
Kayes;Mali
Gourdon;Mauricio
Nouakchott;Mauritania
Maputo;Mozambique
Khomas;Namibia
Niamey Capital District;Níger
Ogun;Nigeria
Lagos;Nigeria
Ekiti;Nigeria
Abuja;Nigeria
Oyo;Nigeria
Edo;Nigeria
Bauchi;Nigeria
Bangui;República Centroafricana
Kinshasa;República del Congo
Kinsasa;República Democrática del Congo
Kigali;Ruanda
Dakar;Senegal
Diourbel;Senegal
Thies;Senegal
Thies;Senegal
Saint-Louis;Senegal
Ziguinchor;Senegal
Perseverance;Seychelles
Mogadishu;Somalia
El Cabo Occidental;Sudáfrica
Khartoum;Sudán
Dar es Salaam;Tanzania
Zanzibar;Tanzania
Marítima;Togo
Wakiso;Uganda
Lusaka;Zambia
Mat-North;Zimbabue
Harare Metro;Zimbabue
Mash East;Zimbabue
Bulawayo;Zimbabue
Bulawayo Metro;Zimbabue
Mash West;Zimbabue
